epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1092.04,0.55225,0.23942,0.25236,0.33616,0.91723,0.98788,0.99601,0.99467,0.89116,0.98371,0.99041,0.98986,0.9895,0.50966,0.09142,0.00697,0.25343,0.87025,0.0005075,0.0005075,0.0005075
62,1108.41,0.55717,0.24486,0.25614,0.34037,0.92486,0.98829,0.99942,0.99472,0.88923,0.98361,0.99474,0.99029,0.98973,0.51734,0.07591,0.0076,0.26122,0.86738,0.000495125,0.000495125,0.000495125
63,1124.78,0.54737,0.23233,0.25454,0.33676,0.91804,0.98757,0.99487,0.99453,0.89925,0.98286,0.9902,0.98949,0.98922,0.48406,0.07871,0.00767,0.24717,0.85522,0.00048275,0.00048275,0.00048275
64,1140.42,0.55258,0.24737,0.26299,0.33747,0.91975,0.98841,0.98971,0.99427,0.89664,0.98481,0.98466,0.99094,0.99058,0.49583,0.07299,0.0097,0.26666,0.85989,0.000470375,0.000470375,0.000470375
65,1156.03,0.5569,0.20755,0.26276,0.33365,0.92136,0.98946,0.99691,0.99426,0.89437,0.98611,0.99326,0.9906,0.99025,0.49429,0.07526,0.00822,0.24978,0.85651,0.000458,0.000458,0.000458
66,1171.69,0.54368,0.20495,0.25466,0.32717,0.91542,0.99063,0.99403,0.9947,0.89779,0.98697,0.99038,0.99075,0.99018,0.49165,0.07205,0.00877,0.24676,0.85725,0.000445625,0.000445625,0.000445625
67,1187.93,0.54479,0.22926,0.25741,0.3344,0.92082,0.99144,0.99653,0.9948,0.89977,0.98878,0.99121,0.99002,0.98942,0.48654,0.07347,0.00863,0.24687,0.85447,0.00043325,0.00043325,0.00043325
68,1203.83,0.54814,0.22887,0.24906,0.33263,0.91858,0.99385,0.99533,0.9948,0.90156,0.99019,0.99169,0.99011,0.98917,0.48483,0.07413,0.00675,0.24345,0.85534,0.000420875,0.000420875,0.000420875
69,1219.8,0.54109,0.22627,0.25083,0.3318,0.91511,0.99149,0.99367,0.99442,0.8995,0.98805,0.98997,0.98997,0.98943,0.48933,0.07159,0.00697,0.24742,0.85822,0.0004085,0.0004085,0.0004085
70,1236.7,0.53397,0.20713,0.24713,0.32441,0.91475,0.99527,0.99692,0.9947,0.89954,0.99111,0.9921,0.99034,0.99004,0.49081,0.06821,0.00763,0.24023,0.85912,0.000396125,0.000396125,0.000396125
71,1251.66,0.53772,0.20138,0.24704,0.32001,0.91372,0.99134,0.99719,0.99449,0.8993,0.98773,0.99326,0.98949,0.98915,0.47682,0.07264,0.00717,0.24318,0.85445,0.00038375,0.00038375,0.00038375
72,1266.07,0.53033,0.21779,0.25488,0.32202,0.91761,0.99327,0.99553,0.99473,0.89889,0.9892,0.99074,0.99085,0.99033,0.49369,0.07149,0.00693,0.24181,0.86232,0.000371375,0.000371375,0.000371375
73,1280.47,0.52381,0.2034,0.24839,0.31491,0.90762,0.99335,0.9956,0.99478,0.89367,0.98889,0.99082,0.98976,0.98933,0.49743,0.06505,0.00925,0.24092,0.86351,0.000359,0.000359,0.000359
74,1295.15,0.53281,0.1974,0.25074,0.31448,0.91458,0.99051,0.99935,0.99472,0.90209,0.98582,0.99467,0.99018,0.98999,0.48572,0.06906,0.00899,0.23846,0.85788,0.000346625,0.000346625,0.000346625
75,1309.81,0.53143,0.20625,0.25774,0.31643,0.91012,0.99375,0.99511,0.99457,0.90168,0.98947,0.98999,0.98962,0.98916,0.48404,0.06825,0.00715,0.23696,0.85678,0.00033425,0.00033425,0.00033425
76,1324.4,0.53669,0.20345,0.24956,0.31271,0.91551,0.99347,0.99651,0.9942,0.90026,0.98892,0.99179,0.9897,0.98924,0.4902,0.06514,0.00592,0.23616,0.85692,0.000321875,0.000321875,0.000321875
77,1342.36,0.52555,0.21205,0.25445,0.31235,0.91253,0.99042,0.99793,0.99452,0.90202,0.98677,0.99428,0.9905,0.99008,0.48428,0.06499,0.00823,0.23436,0.85535,0.0003095,0.0003095,0.0003095
78,1360.12,0.521,0.19821,0.25704,0.3074,0.90806,0.98976,0.99931,0.99474,0.90256,0.98509,0.99463,0.99082,0.99036,0.47658,0.06598,0.00546,0.23934,0.85254,0.000297125,0.000297125,0.000297125
79,1376.04,0.52256,0.19331,0.24595,0.30924,0.90914,0.99027,0.99699,0.99428,0.90117,0.98848,0.99092,0.98951,0.98905,0.48762,0.06468,0.00687,0.23896,0.85559,0.00028475,0.00028475,0.00028475
80,1392.13,0.52085,0.1925,0.24904,0.31239,0.90893,0.98947,0.9997,0.99444,0.90607,0.9848,0.99502,0.98956,0.98919,0.48371,0.06356,0.00613,0.23649,0.8558,0.000272375,0.000272375,0.000272375
81,1408.09,0.51717,0.18747,0.24217,0.30412,0.90397,0.99029,0.99631,0.99479,0.90616,0.98703,0.99178,0.99001,0.98955,0.47844,0.06168,0.00589,0.23177,0.85373,0.00026,0.00026,0.00026
