epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1310.23,0.57973,0.19626,0.09301,0.35984,0.93394,0.99203,0.99552,0.99399,0.88474,0.991,0.99448,0.9932,0.9932,0.52732,0.04064,0.00449,0.26523,0.87652,0.000557,0.000557,0.000557
58,1335.72,0.56237,0.18674,0.08997,0.34215,0.92202,0.99429,0.99356,0.99378,0.88635,0.99234,0.99161,0.9935,0.9935,0.53234,0.04784,0.0045,0.26277,0.87473,0.000544625,0.000544625,0.000544625
59,1358.77,0.56258,0.17295,0.08741,0.33662,0.9248,0.9889,0.9955,0.99277,0.88877,0.98787,0.99446,0.99185,0.99185,0.5255,0.04434,0.00359,0.26817,0.87329,0.00053225,0.00053225,0.00053225
60,1381.12,0.56152,0.19325,0.0869,0.33358,0.92332,0.99094,0.99624,0.99345,0.88944,0.98878,0.99418,0.99158,0.99148,0.52946,0.04748,0.00427,0.26169,0.87814,0.000519875,0.000519875,0.000519875
61,1404.2,0.56291,0.17442,0.08444,0.33783,0.92341,0.98521,0.99806,0.9944,0.89204,0.98418,0.99702,0.9941,0.99389,0.52939,0.04405,0.00407,0.25488,0.88206,0.0005075,0.0005075,0.0005075
62,1426.8,0.5603,0.16831,0.08615,0.33466,0.92661,0.99353,0.99329,0.99396,0.89042,0.99249,0.99225,0.99372,0.99372,0.53217,0.04659,0.00309,0.25753,0.87958,0.000495125,0.000495125,0.000495125
63,1449.71,0.55553,0.1527,0.07683,0.33236,0.92575,0.99175,0.99475,0.99352,0.89203,0.99072,0.99371,0.99348,0.99348,0.5273,0.03675,0.00345,0.25292,0.87739,0.00048275,0.00048275,0.00048275
64,1473.41,0.54971,0.15985,0.08119,0.33133,0.92263,0.99366,0.99396,0.9941,0.89348,0.99391,0.99362,0.9941,0.99403,0.5165,0.03764,0.00371,0.25576,0.86887,0.000470375,0.000470375,0.000470375
65,1496.05,0.55484,0.18578,0.08475,0.32778,0.92338,0.99075,0.99485,0.99367,0.89295,0.99075,0.99485,0.99367,0.99367,0.51844,0.03688,0.00279,0.25325,0.87323,0.000458,0.000458,0.000458
66,1518.81,0.55044,0.18791,0.08482,0.32797,0.92212,0.99255,0.99707,0.99402,0.89313,0.99175,0.99586,0.99402,0.99309,0.51334,0.0415,0.0024,0.25264,0.87308,0.000445625,0.000445625,0.000445625
