epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,1064.51,0.57218,0.26198,0.12698,0.35326,0.93723,0.98522,0.99331,0.99443,0.88855,0.98056,0.98863,0.98924,0.98863,0.51235,0.08745,0.00463,0.27412,0.88545,0.00068075,0.00068075,0.00068075
48,1083.78,0.58496,0.24529,0.12117,0.36432,0.94688,0.99078,0.99573,0.99451,0.88102,0.9861,0.99104,0.9907,0.99043,0.53778,0.08138,0.0053,0.26908,0.89467,0.000668375,0.000668375,0.000668375
49,1102.98,0.56251,0.23088,0.11805,0.34943,0.93277,0.98747,0.99824,0.99438,0.8878,0.98297,0.99348,0.99156,0.99128,0.50981,0.07619,0.00407,0.26604,0.88788,0.000656,0.000656,0.000656
50,1122.27,0.564,0.21148,0.11573,0.34835,0.94063,0.99308,0.99517,0.99493,0.89279,0.98843,0.99049,0.99119,0.99006,0.50402,0.07266,0.00381,0.25921,0.88206,0.000643625,0.000643625,0.000643625
51,1141.52,0.56062,0.19826,0.10637,0.33925,0.93064,0.99035,0.99652,0.99428,0.89298,0.98569,0.99184,0.9906,0.99026,0.50271,0.07429,0.00438,0.25461,0.8865,0.00063125,0.00063125,0.00063125
52,1161.11,0.54841,0.22696,0.10215,0.33177,0.92505,0.97899,0.99666,0.99182,0.88021,0.97321,0.99079,0.9864,0.9856,0.51727,0.08805,0.00409,0.27243,0.88732,0.000618875,0.000618875,0.000618875
53,1180.27,0.54935,0.20342,0.10426,0.33591,0.92775,0.99095,0.99749,0.99467,0.89547,0.98629,0.9928,0.9902,0.98943,0.4954,0.09183,0.00311,0.24677,0.88269,0.0006065,0.0006065,0.0006065
54,1199.5,0.56015,0.22609,0.10501,0.33691,0.93899,0.98995,0.99412,0.99418,0.88709,0.97914,0.98215,0.98247,0.98007,0.51387,0.12638,0.00702,0.26404,0.88709,0.000594125,0.000594125,0.000594125
55,1218.68,0.56144,0.22736,0.10201,0.34002,0.93227,0.98495,0.99379,0.99363,0.89095,0.98062,0.98911,0.98971,0.98895,0.50641,0.07482,0.00444,0.25812,0.88181,0.00058175,0.00058175,0.00058175
56,1237.83,0.54561,0.18804,0.09452,0.32787,0.92613,0.98731,0.99385,0.99452,0.89494,0.98172,0.98825,0.99092,0.98825,0.50638,0.09149,0.00485,0.25372,0.8861,0.000569375,0.000569375,0.000569375
57,1256.97,0.54605,0.20304,0.09438,0.3294,0.92821,0.99029,0.99567,0.99372,0.89501,0.98561,0.99099,0.99104,0.99029,0.49774,0.07159,0.00244,0.24952,0.88297,0.000557,0.000557,0.000557
58,1276.18,0.53688,0.19235,0.09392,0.32783,0.92457,0.98177,0.99668,0.99425,0.89586,0.97719,0.99196,0.99084,0.99043,0.49689,0.06785,0.00406,0.25208,0.87841,0.000544625,0.000544625,0.000544625
59,1295.54,0.54424,0.21764,0.09656,0.32771,0.9269,0.99103,0.99729,0.99449,0.89466,0.98637,0.9926,0.9914,0.99068,0.50873,0.06939,0.0024,0.24857,0.88511,0.00053225,0.00053225,0.00053225
60,1314.71,0.5307,0.1983,0.09211,0.32438,0.92069,0.99539,0.99438,0.99473,0.89252,0.9907,0.98969,0.9896,0.989,0.49605,0.06685,0.00376,0.24381,0.88097,0.000519875,0.000519875,0.000519875
61,1333.9,0.53139,0.19629,0.08826,0.31494,0.91723,0.99316,0.98896,0.99449,0.896,0.98854,0.98373,0.99181,0.99131,0.50335,0.06815,0.00402,0.25517,0.88549,0.0005075,0.0005075,0.0005075
62,1353.14,0.5402,0.20166,0.09262,0.31876,0.92513,0.98676,0.99615,0.99351,0.89398,0.98223,0.99117,0.99138,0.99091,0.49827,0.06645,0.00338,0.25392,0.88016,0.000495125,0.000495125,0.000495125
63,1372.62,0.52211,0.17629,0.08753,0.3138,0.91918,0.9926,0.9946,0.99462,0.89795,0.98895,0.99095,0.98999,0.98922,0.49595,0.06745,0.0048,0.23867,0.87789,0.00048275,0.00048275,0.00048275
64,1391.75,0.52833,0.19979,0.09347,0.31727,0.92071,0.99062,0.99528,0.99423,0.90072,0.98593,0.9906,0.98905,0.98808,0.49401,0.06982,0.00396,0.24474,0.87256,0.000470375,0.000470375,0.000470375
65,1410.91,0.53371,0.18081,0.08614,0.31061,0.92269,0.98262,0.9956,0.99359,0.89681,0.97905,0.99116,0.98995,0.98945,0.48865,0.06635,0.00271,0.25099,0.87333,0.000458,0.000458,0.000458
66,1430.02,0.52239,0.15654,0.08202,0.30494,0.91756,0.99404,0.99096,0.99462,0.89956,0.99065,0.98716,0.99116,0.9904,0.49575,0.06429,0.00364,0.23985,0.87333,0.000445625,0.000445625,0.000445625
67,1449.2,0.52625,0.17725,0.08272,0.31221,0.924,0.99242,0.99579,0.99492,0.90321,0.98772,0.99113,0.99167,0.99094,0.48328,0.06821,0.00384,0.23832,0.87253,0.00043325,0.00043325,0.00043325
68,1468.35,0.5315,0.18342,0.07984,0.30795,0.92301,0.99194,0.99693,0.9947,0.9026,0.98726,0.99225,0.98971,0.98895,0.48643,0.06304,0.00275,0.23829,0.87363,0.000420875,0.000420875,0.000420875
69,1487.46,0.52187,0.18764,0.08574,0.31137,0.91733,0.99408,0.99686,0.99416,0.89908,0.98939,0.99217,0.99076,0.9902,0.49126,0.06383,0.00244,0.23772,0.87375,0.0004085,0.0004085,0.0004085
70,1506.7,0.51725,0.16954,0.07882,0.30443,0.91723,0.99364,0.99573,0.99417,0.90025,0.98895,0.99104,0.99267,0.99209,0.49454,0.0608,0.00274,0.23209,0.87724,0.000396125,0.000396125,0.000396125
71,1526.16,0.51741,0.17322,0.07617,0.30189,0.91258,0.98703,0.99673,0.99338,0.901,0.98236,0.99205,0.98902,0.98842,0.48476,0.06544,0.00224,0.23761,0.87314,0.00038375,0.00038375,0.00038375
72,1545.28,0.5103,0.16914,0.07914,0.2983,0.91515,0.99175,0.99572,0.99465,0.90142,0.98706,0.99103,0.99082,0.9898,0.48604,0.06559,0.00337,0.2318,0.86853,0.000371375,0.000371375,0.000371375
73,1564.4,0.50639,0.14695,0.07235,0.29454,0.90511,0.98864,0.99704,0.99439,0.90191,0.98398,0.99235,0.99128,0.99051,0.48814,0.05628,0.00293,0.23355,0.87206,0.000359,0.000359,0.000359
74,1583.49,0.51427,0.14338,0.07248,0.29668,0.91403,0.98954,0.99675,0.99405,0.90318,0.98487,0.99207,0.99022,0.98943,0.48863,0.05841,0.00282,0.2381,0.87313,0.000346625,0.000346625,0.000346625
75,1602.58,0.50977,0.15174,0.0771,0.2969,0.91295,0.99482,0.99604,0.99397,0.90037,0.99011,0.99137,0.9902,0.98905,0.49087,0.05963,0.00229,0.23097,0.87378,0.00033425,0.00033425,0.00033425
76,1621.67,0.51476,0.15467,0.07303,0.29512,0.91734,0.99187,0.99684,0.99421,0.90185,0.98719,0.99216,0.9901,0.98917,0.47959,0.05785,0.00215,0.22967,0.87016,0.000321875,0.000321875,0.000321875
77,1640.78,0.50402,0.17841,0.07798,0.29548,0.91609,0.9937,0.9946,0.99477,0.90748,0.98901,0.98991,0.98983,0.98892,0.47134,0.05773,0.00265,0.22186,0.86884,0.0003095,0.0003095,0.0003095
78,1660.07,0.49781,0.15864,0.07496,0.28745,0.91047,0.98669,0.99723,0.99373,0.90699,0.98202,0.99255,0.98976,0.98883,0.4721,0.0593,0.00243,0.23101,0.87109,0.000297125,0.000297125,0.000297125
79,1679.16,0.50075,0.14092,0.06902,0.28672,0.91131,0.99156,0.99732,0.99474,0.90391,0.98688,0.99264,0.98967,0.98881,0.47542,0.05691,0.0026,0.22458,0.8681,0.00028475,0.00028475,0.00028475
80,1698.3,0.4983,0.13975,0.06916,0.29316,0.91021,0.99454,0.9957,0.99467,0.90465,0.98984,0.99101,0.99067,0.99003,0.48675,0.05711,0.00259,0.22664,0.87026,0.000272375,0.000272375,0.000272375
81,1717.44,0.49388,0.13118,0.06535,0.28089,0.90532,0.99174,0.99794,0.99426,0.90641,0.98706,0.99326,0.99038,0.98991,0.46838,0.05347,0.00218,0.21724,0.87008,0.00026,0.00026,0.00026
82,1736.61,0.49107,0.13548,0.06325,0.27603,0.90322,0.99442,0.99669,0.99428,0.90639,0.98972,0.99201,0.99069,0.99007,0.48258,0.05582,0.00213,0.21992,0.86932,0.000247625,0.000247625,0.000247625
83,1755.84,0.49639,0.13182,0.06635,0.28152,0.90969,0.99293,0.99664,0.99467,0.90937,0.98824,0.99196,0.9908,0.99015,0.46437,0.05566,0.00204,0.21809,0.86433,0.00023525,0.00023525,0.00023525
84,1775.42,0.48966,0.13135,0.06559,0.27784,0.90781,0.99289,0.99787,0.99446,0.90506,0.9882,0.99319,0.98929,0.9887,0.47624,0.05418,0.00184,0.21863,0.86924,0.000222875,0.000222875,0.000222875
85,1794.57,0.49277,0.11967,0.06482,0.27764,0.90738,0.99108,0.99785,0.99416,0.90614,0.9864,0.99317,0.9899,0.98909,0.47377,0.056,0.00152,0.21838,0.87287,0.0002105,0.0002105,0.0002105
86,1813.7,0.49798,0.12057,0.06038,0.27497,0.90783,0.99178,0.99802,0.99477,0.90637,0.98709,0.99334,0.98996,0.9893,0.47514,0.05147,0.00199,0.21745,0.86742,0.000198125,0.000198125,0.000198125
87,1832.84,0.48808,0.13156,0.06398,0.27413,0.9049,0.99399,0.99481,0.99478,0.91151,0.98929,0.99013,0.98982,0.98925,0.46532,0.054,0.00189,0.21302,0.86421,0.00018575,0.00018575,0.00018575
88,1852.01,0.48685,0.118,0.06433,0.27147,0.90781,0.99227,0.99465,0.99447,0.9106,0.98758,0.98997,0.9899,0.98887,0.47296,0.0521,0.00227,0.21883,0.86736,0.000173375,0.000173375,0.000173375
89,1871.13,0.4792,0.12749,0.06285,0.26828,0.90185,0.99435,0.99379,0.99458,0.91375,0.98965,0.98911,0.99052,0.98989,0.46261,0.05188,0.0016,0.21093,0.86601,0.000161,0.000161,0.000161
90,1890.62,0.47433,0.13411,0.0634,0.27027,0.90066,0.99085,0.99632,0.9946,0.91535,0.98616,0.99164,0.99044,0.98966,0.45607,0.05118,0.00193,0.20898,0.86238,0.000148625,0.000148625,0.000148625
91,1911.09,0.43695,0.0575,0.01253,0.22832,0.86679,0.9934,0.99616,0.99436,0.90902,0.9887,0.99147,0.98956,0.98898,0.46696,0.05468,0.00165,0.21107,0.86786,0.00013625,0.00013625,0.00013625
92,1930.01,0.4337,0.05172,0.01224,0.22179,0.86418,0.99426,0.9962,0.99394,0.90927,0.98958,0.99152,0.99022,0.98958,0.46524,0.052,0.0018,0.21407,0.86875,0.000123875,0.000123875,0.000123875
93,1948.95,0.43076,0.04855,0.01055,0.2173,0.86132,0.99198,0.99506,0.99382,0.91116,0.9873,0.99037,0.99038,0.98997,0.46054,0.05108,0.00134,0.21432,0.86783,0.0001115,0.0001115,0.0001115
94,1967.86,0.42925,0.04554,0.01363,0.21676,0.86699,0.99289,0.99751,0.99478,0.91316,0.98821,0.99283,0.99146,0.99096,0.4665,0.04951,0.00137,0.21133,0.86932,9.9125e-05,9.9125e-05,9.9125e-05
95,1986.81,0.42731,0.04743,0.00923,0.21339,0.86122,0.99251,0.99734,0.99464,0.91168,0.98783,0.99265,0.99058,0.99,0.46378,0.0499,0.00116,0.2086,0.86842,8.675e-05,8.675e-05,8.675e-05
96,2005.74,0.42436,0.04628,0.01066,0.21043,0.86649,0.99147,0.99595,0.99426,0.91244,0.98679,0.99126,0.99003,0.98951,0.46107,0.0501,0.00116,0.20881,0.86848,7.4375e-05,7.4375e-05,7.4375e-05
97,2024.67,0.42278,0.04533,0.01003,0.21079,0.86001,0.9937,0.9972,0.99474,0.9138,0.989,0.99254,0.99039,0.98971,0.45978,0.04903,0.00135,0.20313,0.86643,6.2e-05,6.2e-05,6.2e-05
98,2043.75,0.41435,0.04436,0.01045,0.20832,0.86003,0.99299,0.99696,0.99463,0.9138,0.98831,0.99227,0.99181,0.99089,0.45726,0.0501,0.00131,0.20343,0.86565,4.9625e-05,4.9625e-05,4.9625e-05
99,2062.64,0.413,0.04306,0.00986,0.20563,0.85719,0.99234,0.99757,0.99482,0.91493,0.98766,0.99289,0.99128,0.99029,0.45405,0.04959,0.00121,0.20283,0.86481,3.725e-05,3.725e-05,3.725e-05
100,2081.62,0.41534,0.04416,0.01036,0.20501,0.86152,0.99222,0.9988,0.99485,0.91538,0.98754,0.99412,0.99109,0.99028,0.45478,0.04846,0.00122,0.20183,0.86413,2.4875e-05,2.4875e-05,2.4875e-05
